1/100,6245341.4923
2/100,36716.6818
3/100,20820.8636
4/100,15434.2035
5/100,355925981.2034
6/100,24746.7042
7/100,15672.1661
8/100,17885.5845
9/100,25853.6884
10/100,37137.6337
11/100,30719.0455
12/100,19336.7751
13/100,15624.4116
14/100,17008.4315
15/100,19016.0181
16/100,18334.7165
17/100,18920.9846
18/100,4674248.6173
19/100,17144.7498
20/100,15664.7038
21/100,15325.1682
22/100,14890.7305
23/100,16526.1198
24/100,16182.4585
25/100,1004485.6078
26/100,15503.2395
27/100,15888.6803
28/100,15096.8164
29/100,14876.4415
30/100,15295.8333
31/100,16245.6894
32/100,208809.5261
33/100,15614.0370
34/100,14880.0187
35/100,15528.4232
36/100,15984.1075
37/100,16394.2887
38/100,15767.9827
39/100,16106.6472
40/100,15475.1243
41/100,15022.5644
42/100,15062.2804
43/100,15777.9295
44/100,14632.4689
45/100,14796.6873
46/100,15187.4693
47/100,15227.5291
48/100,14607.8889
49/100,14740.7538
50/100,15169.1330
51/100,14584.7122
52/100,14751.9813
53/100,14827.6013
54/100,14666.7761
55/100,16761.1725
56/100,14605.9305
57/100,14643.5576
58/100,14574.8276
59/100,14831.4256
60/100,14538.2774
61/100,14975.5451
62/100,14533.5580
63/100,15732.5037
64/100,14674.2899
65/100,15083.9299
66/100,14571.8597
67/100,14618.8519
68/100,15063.1256
69/100,14701.0209
70/100,14479.2663
71/100,14799.1072
72/100,14639.3586
73/100,15257.2732
74/100,14569.7465
75/100,14700.5785
76/100,18821.2161
77/100,14667.0759
78/100,14648.6706
79/100,14696.8957
80/100,14650.9547
81/100,15187.1561
82/100,14594.2738
83/100,14829.5650
84/100,14511.4770
85/100,14895.3532
86/100,14544.4715
87/100,14841.6927
88/100,14572.7054
89/100,14761.2240
90/100,14570.2557
91/100,14853.2870
92/100,14475.7391
93/100,21879.7690
94/100,14635.5797
95/100,14690.4298
96/100,14602.3707
97/100,14722.9995
98/100,14729.0803
99/100,14709.1671
100/100,14537.0862
162.82867431640625
