1/100,6707037.7399
2/100,39067.6702
3/100,20857.0559
4/100,16075.8822
5/100,16809291.3290
6/100,15744.7264
7/100,18657.6836
8/100,19193.7059
9/100,17567.6058
10/100,16168.7628
11/100,498857.5658
12/100,15488.7137
13/100,15252.9304
14/100,16892.5563
15/100,17216.5692
16/100,17892.1632
17/100,1333428.3348
18/100,15217.9562
19/100,15170.1761
20/100,15184.0498
21/100,15754.5022
22/100,15536.0702
23/100,192235.0904
24/100,15226.5628
25/100,15117.4246
26/100,15701.3475
27/100,15895.1910
28/100,16758.9868
29/100,15834.8831
30/100,15747.0734
31/100,18652.7293
32/100,14965.8891
33/100,14786.7367
34/100,15619.1185
35/100,14647.7919
36/100,14737.7978
37/100,14992.4239
38/100,14643.0430
39/100,14934.7198
40/100,14775.8797
41/100,14899.6557
42/100,14590.6991
43/100,14775.9592
44/100,14831.8779
45/100,15398.2742
46/100,14594.2100
47/100,14526.6166
48/100,14940.7574
49/100,14551.9341
50/100,15525.6576
51/100,14569.4279
52/100,14756.2030
53/100,14544.5580
54/100,14844.9810
55/100,14744.5175
56/100,14606.0705
57/100,15249.9608
58/100,14534.3477
59/100,14873.7292
60/100,14564.3661
61/100,15111.6270
62/100,14602.5384
63/100,14694.2420
64/100,14834.8656
65/100,14715.7361
66/100,15200.5310
67/100,14511.0264
68/100,14652.6237
69/100,14738.3320
70/100,14587.3015
71/100,19102.7505
72/100,14686.4900
73/100,14619.1735
74/100,14549.1012
75/100,14608.4600
76/100,14884.9559
77/100,16106.9493
78/100,14564.4956
79/100,14576.3319
80/100,14890.1588
81/100,14478.8794
82/100,14642.6883
83/100,14781.1143
84/100,14469.8683
85/100,15458.5856
86/100,14542.7823
87/100,14501.2632
88/100,14954.6957
89/100,14487.6987
90/100,15067.1302
91/100,14540.8865
92/100,15055.7204
93/100,14567.1119
94/100,14520.5801
95/100,14888.2511
96/100,14508.6694
97/100,50828.4751
98/100,15042.4038
99/100,14967.8876
100/100,14721.3601
153.3329620361328
