1/100,8335132.4976
2/100,37064.1746
3/100,24145.0873
4/100,15730.9444
5/100,759489.0780
6/100,5345603.3639
7/100,18325.3026
8/100,18960.3151
9/100,17482.0193
10/100,5172448.5580
11/100,15900.6317
12/100,17389.1149
13/100,16397.3413
14/100,15360.2211
15/100,15635.3791
16/100,17592.7472
17/100,16695.5109
18/100,395542.6461
19/100,15239.4717
20/100,14894.6006
21/100,15111.5809
22/100,16055.8353
23/100,17495.9836
24/100,16705.8504
25/100,16169.1563
26/100,16030.6348
27/100,15149.0521
28/100,30940.3087
29/100,15188.9211
30/100,15058.3356
31/100,15165.1259
32/100,14858.8294
33/100,14994.8033
34/100,14781.8884
35/100,15090.8711
36/100,14685.3925
37/100,14917.9551
38/100,16029.8442
39/100,14680.4713
40/100,14582.4736
41/100,14716.2637
42/100,14758.1993
43/100,15712.5576
44/100,14796.6916
45/100,14998.2916
46/100,14693.1273
47/100,14644.8079
48/100,15778.2446
49/100,14628.4381
50/100,14697.3002
51/100,15504.5560
52/100,14703.2215
53/100,14682.7403
54/100,14828.4227
55/100,14516.6497
56/100,14779.9809
57/100,14706.7550
58/100,14480.2336
59/100,15168.9018
60/100,14516.7916
61/100,15191.8204
62/100,14569.8229
63/100,18644.2347
64/100,14704.5218
65/100,14722.9046
66/100,14632.8402
67/100,14770.8976
68/100,14979.6114
69/100,14523.7762
70/100,19291.3145
71/100,14720.6494
72/100,14619.1812
73/100,14777.0003
74/100,14535.4349
75/100,14637.8062
76/100,14635.9192
77/100,14809.7101
78/100,14693.6869
79/100,14640.6754
80/100,14924.2305
81/100,14530.0221
82/100,19703.5971
83/100,15078.6947
84/100,15083.7498
85/100,14654.5496
86/100,14609.0757
87/100,14683.8832
88/100,14634.9997
89/100,14523.0982
90/100,15970.8126
91/100,14620.9350
92/100,14552.7630
93/100,14693.3083
94/100,57741.5014
95/100,14743.8818
96/100,15260.1988
97/100,14864.5173
98/100,15170.0197
99/100,14777.1401
100/100,14934.5027
158.63136291503906
