1/100,6700365.5087
2/100,32120.0826
3/100,19924.1231
4/100,15365.4958
5/100,20222251.9507
6/100,15793.5612
7/100,18694.3463
8/100,21536.9586
9/100,19160.0150
10/100,15257.7857
11/100,15857.5305
12/100,22185.2983
13/100,17669.8385
14/100,18162.9777
15/100,341386.0639
16/100,14904.4182
17/100,14932.8492
18/100,15927.4239
19/100,15950.0982
20/100,17099.0160
21/100,17285.6980
22/100,16605.1427
23/100,15734.6650
24/100,30011.6285
25/100,15559.3345
26/100,15242.5833
27/100,15030.5552
28/100,15004.0672
29/100,14994.3577
30/100,15459.7909
31/100,15011.0607
32/100,14748.5239
33/100,14584.1354
34/100,15145.9407
35/100,14576.6859
36/100,14757.1362
37/100,15000.2139
38/100,14626.0998
39/100,15061.3411
40/100,14547.4985
41/100,14691.5800
42/100,14849.3697
43/100,14624.5946
44/100,18403.8035
45/100,14533.5554
46/100,14587.2518
47/100,14734.7124
48/100,14686.5773
49/100,15243.4824
50/100,14612.8996
51/100,14621.8357
52/100,17398.1716
53/100,14564.9348
54/100,14583.7652
55/100,14608.7602
56/100,16046.8837
57/100,14645.5326
58/100,14657.1713
59/100,14624.6428
60/100,14832.5317
61/100,14484.7604
62/100,14962.0520
63/100,14572.7726
64/100,14671.4223
65/100,14649.0391
66/100,14753.3794
67/100,14495.3426
68/100,15434.5936
69/100,14514.7550
70/100,14653.0421
71/100,14795.6101
72/100,14522.1147
73/100,14691.3013
74/100,14834.5201
75/100,14542.6816
76/100,14450.3320
77/100,16212.7200
78/100,14624.9807
79/100,14572.7778
80/100,14649.8352
81/100,14659.2732
82/100,14716.6717
83/100,14684.5959
84/100,14530.0407
85/100,14721.2175
86/100,14520.2701
87/100,21122.3304
88/100,14679.7379
89/100,14625.1807
90/100,14649.7707
91/100,14642.2652
92/100,14685.6826
93/100,14795.6421
94/100,14448.8968
95/100,14663.2297
96/100,14966.9051
97/100,14558.4928
98/100,14555.7805
99/100,16457.2316
100/100,14559.8162
135.81405639648438
