1/100,4753208.2852
2/100,28872.6106
3/100,18667.9755
4/100,15372.9380
5/100,63669861.6776
6/100,16252.4450
7/100,20420.3143
8/100,33961.6574
9/100,23752.5502
10/100,17790.7819
11/100,15343.7586
12/100,16668.5702
13/100,18163.2690
14/100,19053.7156
15/100,5120511.8641
16/100,20578.0872
17/100,21492.9881
18/100,19094.9365
19/100,15491.5209
20/100,15060.7564
21/100,15387.1194
22/100,4973416.8378
23/100,15074.7736
24/100,15963.9268
25/100,15874.3688
26/100,15600.9811
27/100,15306.6040
28/100,15820.5686
29/100,15513.6131
30/100,242934.9132
31/100,54194.4966
32/100,14759.9906
33/100,14947.2171
34/100,15330.7712
35/100,1069308.3807
36/100,16213.9516
37/100,16019.3486
38/100,15283.3007
39/100,14895.2346
40/100,15279.4356
41/100,15507.5445
42/100,17892.4398
43/100,15673.9967
44/100,15850.1327
45/100,15109.2035
46/100,15270.6655
47/100,15220.0728
48/100,14810.3553
49/100,14932.5564
50/100,17945.0215
51/100,14659.9480
52/100,14701.6628
53/100,14942.7993
54/100,14828.5304
55/100,14592.7478
56/100,15067.9844
57/100,14725.2571
58/100,24656.1979
59/100,14556.4877
60/100,14729.1330
61/100,14573.0181
62/100,14657.9934
63/100,14666.3002
64/100,34221.4384
65/100,14642.7047
66/100,14658.1013
67/100,14582.0678
68/100,14552.8067
69/100,14578.9865
70/100,17354.7790
71/100,14536.3098
72/100,14591.6686
73/100,14674.3422
74/100,14902.3802
75/100,14728.8279
76/100,14565.4621
77/100,14807.8374
78/100,14759.1093
79/100,14768.3947
80/100,14855.6875
81/100,14701.3313
82/100,14868.9586
83/100,14583.2461
84/100,14762.9832
85/100,15090.7769
86/100,14578.0233
87/100,14520.4045
88/100,15025.4715
89/100,14619.9725
90/100,14649.4233
91/100,14629.0837
92/100,16291.6279
93/100,14661.7566
94/100,14839.1833
95/100,14544.9679
96/100,15798.6989
97/100,14521.0751
98/100,14634.6134
99/100,14559.0248
100/100,15292.1188
142.13766479492188
